date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1999-11-01,0.00,-11.95,4399.47,7826.73,0.00,3.06,312.67,213.79,148.12,0.00,0.00,0.00,516.80,0.00,0.00,0.00,0.00,0.00,5602221.07,7228790.16,0.00,3214.41,176879.21,142437.96,123559.72,0.00,0.00,990.19,0.00,0.00,280269.38,114713885.71,205769657.89,0.00,519497.43,37651123.18,13153186.55,8829488.16,0.00,0.00,0.00,12962208.52,0.00,0.00,0.00
1999-12-01,0.00,-30.10,4537.02,8036.77,0.00,0.82,318.69,225.17,168.19,0.00,0.00,0.00,505.67,0.00,0.00,0.00,0.00,0.00,5794142.31,7446227.37,0.00,867.41,182218.74,152547.62,138321.26,0.00,0.00,996.52,0.00,0.00,592217.85,84338830.16,191541660.14,0.00,36984.22,12797982.05,6707627.47,5596985.03,0.00,0.00,0.00,10475415.72,0.00,0.00,0.00
2000-01-01,0.00,-35.84,3990.32,8386.28,0.00,16.10,519.55,226.95,257.34,0.00,0.00,0.00,524.29,0.00,0.00,0.00,0.00,0.00,5069405.92,7782014.97,0.00,16897.75,292969.66,152517.16,213851.93,0.00,0.00,974.27,0.00,0.00,11153738.83,133246675.33,557351164.34,0.00,11328643.42,23853912.59,13491431.52,29975984.89,0.00,0.00,0.00,31602124.48,0.00,0.00,0.00
2000-02-01,0.00,-51.94,4115.44,8153.21,0.00,5.53,665.03,212.93,292.14,0.00,0.00,0.00,683.49,0.00,0.00,0.00,0.00,0.00,5248094.95,7537792.80,0.00,5824.84,375194.45,140670.57,237235.10,0.00,0.00,962.28,0.00,0.00,1643936.62,263917218.39,346329943.64,0.00,2077618.36,80735122.55,18213214.37,22723268.77,0.00,0.00,0.00,47941445.38,0.00,0.00,0.00
2000-03-01,0.00,-63.57,4641.73,8527.58,0.00,22.93,376.41,214.47,229.00,0.00,0.00,0.00,638.92,0.00,0.00,0.00,0.00,0.00,5924355.73,7907747.97,0.00,24071.63,214449.18,137218.24,185452.68,0.00,0.00,986.69,0.00,0.00,4967116.47,186459296.31,381713485.45,0.00,3187475.62,47334312.83,14044590.27,20672194.24,0.00,0.00,0.00,31387250.83,0.00,0.00,0.00
2000-04-01,0.00,-32.45,4375.99,7863.19,0.00,3.94,209.66,210.66,156.46,0.00,0.00,0.00,464.81,0.00,0.00,0.00,0.00,0.00,5573572.72,7268779.39,0.00,4133.77,120536.21,126507.33,126327.77,0.00,0.00,997.56,0.00,0.00,1274284.76,113916977.38,253126213.06,0.00,514571.34,10401455.05,7433332.98,7011622.76,0.00,0.00,0.00,13494991.74,0.00,0.00,0.00
2000-05-01,0.00,-37.58,4463.83,8858.82,0.00,2.00,433.16,223.59,163.46,0.00,0.00,0.00,509.31,0.00,0.00,0.00,0.00,0.00,5727252.32,8210921.41,0.00,2097.51,243695.42,133645.57,126471.43,0.00,0.00,988.20,0.00,0.00,1433543.35,232136377.33,498335928.12,0.00,1780096.07,31770128.29,13231538.63,15834859.28,0.00,0.00,0.00,45531629.52,0.00,0.00,0.00
2000-06-01,0.00,-65.62,4145.79,9244.63,0.00,6.50,651.24,223.57,205.89,0.00,0.00,0.00,633.48,0.00,0.00,0.00,0.00,0.00,5373275.41,8544756.61,0.00,6762.08,365886.09,130139.95,153920.62,0.00,0.00,968.71,0.00,0.00,1936044.74,183637488.64,390305079.40,0.00,882909.27,38615591.29,12039711.31,12421896.81,0.00,0.00,0.00,35462253.76,0.00,0.00,0.00
2000-07-01,0.00,-95.91,4417.94,9523.77,0.00,4.64,356.86,230.14,193.71,0.00,0.00,0.00,727.61,0.00,0.00,0.00,0.00,0.00,5681624.06,8799711.82,0.00,4873.68,205282.87,132817.29,143671.10,0.00,0.00,974.56,0.00,0.00,3538104.69,213455710.75,480756861.75,0.00,661275.00,22620650.63,12673216.71,14400384.64,0.00,0.00,0.00,38538269.44,0.00,0.00,0.00
2000-08-01,0.00,-122.85,4164.44,9552.40,0.00,2.30,327.12,235.97,214.09,0.00,0.00,0.00,739.06,0.00,0.00,0.00,0.00,0.00,5366035.49,8839120.06,0.00,2414.22,187867.56,137082.13,160855.21,0.00,0.00,972.26,0.00,0.00,3793264.84,241739693.89,471232677.76,0.00,284147.92,24058782.74,14459588.38,15772914.39,0.00,0.00,0.00,49162821.26,0.00,0.00,0.00
2000-09-01,0.00,-22.14,4169.81,8347.23,0.00,0.05,192.73,224.35,149.69,0.00,0.00,0.00,662.98,0.00,0.00,0.00,0.00,0.00,5341362.83,7768070.59,0.00,48.63,110971.33,131743.19,109167.47,0.00,0.00,980.81,0.00,0.00,478015.81,106498701.64,225732050.25,0.00,5465.85,7496193.24,6731239.45,5099455.17,0.00,0.00,0.00,16370275.01,0.00,0.00,0.00
2000-10-01,0.00,-12.16,4331.12,8451.51,0.00,4.50,211.73,230.18,159.54,0.00,0.00,0.00,595.83,0.00,0.00,0.00,0.00,0.00,5527183.47,7908373.18,0.00,4726.84,121912.52,133276.51,116180.74,0.00,0.00,988.51,0.00,0.00,251549.11,127380375.04,329736353.17,0.00,574019.47,10233860.30,9384714.36,10536013.89,0.00,0.00,0.00,20880958.09,0.00,0.00,0.00
